Address,Country,Owner,Malicious,Suspicious,Total,Scan Time,Status
ftp.admedika.com,Unknown,Unknown,0,0,94,2025-03-20 11:52:54,Safe
hatiplong.com,Unknown,Unknown,0,0,94,2025-03-20 11:52:56,Safe
cloud.primaadjusterindo.com,Unknown,Unknown,0,0,94,2025-03-20 11:52:59,Safe
absensi.ace.co.id,Unknown,Unknown,0,0,94,2025-03-20 11:53:01,Safe
mkmkabel.com,Unknown,Unknown,0,0,94,2025-03-20 11:53:03,Safe
absensi.ace.co.id,Unknown,Unknown,0,0,94,2025-03-20 11:53:06,Safe
penelitianilmiah.com,Unknown,Unknown,1,0,94,2025-03-20 11:53:08,Potentially Harmful
absensi.ace.co.id,Unknown,Unknown,0,0,94,2025-03-20 11:53:11,Safe
kinto-id.com,Unknown,Unknown,0,0,94,2025-03-20 11:53:13,Safe
algae.froghost.com,Unknown,Unknown,0,0,94,2025-03-20 11:53:16,Safe
mursmedic.com,Unknown,Unknown,0,0,94,2025-03-20 11:53:18,Safe
jawaracorpo.com,Unknown,Unknown,0,0,94,2025-03-20 11:53:21,Safe
mkmkabel.com,Unknown,Unknown,0,0,94,2025-03-20 11:53:23,Safe
toyotabatam.com,Unknown,Unknown,1,0,94,2025-03-20 11:53:26,Potentially Harmful
www.mineq.id,Unknown,Unknown,0,0,94,2025-03-20 11:53:28,Safe
www.hinojakarta.co.id,Unknown,Unknown,0,0,94,2025-03-20 11:53:31,Safe
jualalatberat.net,Unknown,Unknown,0,0,94,2025-03-20 11:53:33,Safe
bimbinganislam.com,Unknown,Unknown,0,0,94,2025-03-20 11:53:36,Safe
ikigaifitness.id,Unknown,Unknown,0,0,94,2025-03-20 11:53:38,Safe
